record_id,material_name,chemical_formula,structure_type,composition_method,property_name,property_value,property_unit,temperature,pressure,data_source,uncertainty,description
5654,Silicon Dioxide,SiO2,Crystalline,Sol-gel synthesis,Band Gap,7777.0,eV,300.0,101325.0,experimental,,High purity silicon dioxide sample
5655,Silicon Dioxide,SiO2,Crystalline,Sol-gel synthesis,Refractive Index,1.46,,300.0,101325.0,experimental,,Measured at 589nm wavelength
5656,Silicon Dioxide,SiO2,Crystalline,Sol-gel synthesis,Density,2.65,g/cm³,300.0,101325.0,experimental,,Measured using pycnometry
5657,Titanium Dioxide,TiO2,Anatase,Chemical vapor deposition,Band Gap,3.2,eV,300.0,101325.0,experimental,,Anatase phase titanium dioxide
5658,Titanium Dioxide,TiO2,Anatase,Chemical vapor deposition,Refractive Index,2.52,,300.0,101325.0,experimental,,High refractive index material
5659,Titanium Dioxide,TiO2,Rutile,Hydrothermal synthesis,Band Gap,3.0,eV,300.0,101325.0,experimental,,Rutile phase with lower band gap
5660,Graphene,C,2D Hexagonal,Chemical exfoliation,Electrical Conductivity,1000000,S/m,300.0,101325.0,experimental,5000.0,Single layer graphene sheet
5661,Graphene,C,2D Hexagonal,Chemical exfoliation,Thermal Conductivity,5000,W/m·K,300.0,101325.0,literature,100.0,Extremely high thermal conductivity
5662,Graphene,C,2D Hexagonal,Chemical exfoliation,Young's Modulus,1000,GPa,300.0,101325.0,computational,50.0,DFT calculations
5663,Gold Nanoparticles,Au,Face-centered cubic,Citrate reduction,Particle Size,20,nm,300.0,101325.0,experimental,2.0,Spherical gold nanoparticles
5664,Gold Nanoparticles,Au,Face-centered cubic,Citrate reduction,Surface Plasmon Resonance,520,nm,300.0,101325.0,experimental,5.0,Characteristic SPR peak
5665,Aluminum Oxide,Al2O3,Corundum,Thermal oxidation,Hardness,9.0,Mohs,300.0,101325.0,database,,Second hardest natural mineral
5666,Aluminum Oxide,Al2O3,Corundum,Thermal oxidation,Melting Point,2345,K,,,database,,Very high melting point
5667,Aluminum Oxide,Al2O3,Corundum,Thermal oxidation,Density,3.95,g/cm³,300.0,101325.0,database,,High density ceramic
5668,Perovskite,CH3NH3PbI3,Tetragonal,Solution processing,Band Gap,1.55,eV,300.0,101325.0,experimental,,Hybrid organic-inorganic perovskite
5669,Perovskite,CH3NH3PbI3,Tetragonal,Solution processing,Power Conversion Efficiency,22.5,%,300.0,101325.0,experimental,,Solar cell performance
5670,Silicon Carbide,SiC,Hexagonal,Chemical vapor deposition,Band Gap,3.26,eV,300.0,101325.0,experimental,,Wide bandgap semiconductor
5671,Silicon Carbide,SiC,Hexagonal,Chemical vapor deposition,Thermal Conductivity,490,W/m·K,300.0,101325.0,literature,10.0,Excellent thermal conductor
5672,Silicon Carbide,SiC,Hexagonal,Chemical vapor deposition,Hardness,9.5,Mohs,300.0,101325.0,database,,Very hard material
5673,Zinc Oxide,ZnO,Wurtzite,Hydrothermal synthesis,Band Gap,3.37,eV,300.0,101325.0,experimental,,Direct bandgap semiconductor
5674,Zinc Oxide,ZnO,Wurtzite,Hydrothermal synthesis,Piezoelectric Coefficient,12.4,pC/N,300.0,101325.0,experimental,,Piezoelectric material
5675,Copper,Cu,Face-centered cubic,Electrodeposition,Electrical Conductivity,59600000,S/m,300.0,101325.0,database,,Pure copper conductor
5676,Copper,Cu,Face-centered cubic,Electrodeposition,Thermal Conductivity,401,W/m·K,300.0,101325.0,database,,Excellent heat conductor
5677,Iron Oxide,Fe2O3,Hematite,Precipitation,Magnetic Susceptibility,3.5e-3,,300.0,101325.0,experimental,,Paramagnetic at room temperature
5678,Iron Oxide,Fe2O3,Hematite,Precipitation,Particle Size,50,nm,300.0,101325.0,experimental,5.0,Nanoparticle form
